loyalty_number,seasonal_volatility,churned
100018,1.0555555555555556,0
100102,1.111111111111111,0
100140,1.5,0
100214,1.0694444444444444,0
100272,1.0555555555555556,0
100301,1.0833333333333333,0
100364,1.5555555555555556,0
100380,1.3333333333333333,0
100428,1.125,0
100504,1.5833333333333333,1
100550,1.5,0
100585,1.611111111111111,0
100590,3.8400000000000007,0
100642,1.25,0
100644,0.9722222222222222,0
100646,1.6666666666666667,0
100727,1.5833333333333333,0
100737,1.2777777777777777,0
100753,1.5833333333333333,0
100816,0.8333333333333334,0
100853,1.125,0
100883,1.388888888888889,0
100890,0.8888888888888888,0
101018,1.4305555555555554,0
101148,1.0694444444444444,0
101363,1.7777777777777777,0
101487,0.8472222222222222,0
101515,1.0,0
101540,0.9444444444444445,0
101544,1.611111111111111,0
101547,0.6666666666666666,0
101581,1.5555555555555556,0
101594,1.0972222222222223,0
101663,1.5833333333333333,0
101664,1.5833333333333333,0
101709,1.25,0
101876,1.1666666666666667,1
101895,0.8888888888888888,0
101902,0.8333333333333334,0
101945,1.222222222222222,0
102168,1.25,0
102184,1.152777777777778,0
102207,1.2916666666666667,0
102299,1.7222222222222223,0
102311,1.4166666666666667,0
102376,6.08,0
102464,0.7777777777777778,0
102726,1.222222222222222,0
102730,1.0,0
102788,5.04,0
102851,1.25,0
102877,1.5,0
102982,1.25,0
103151,1.027777777777778,0
103217,1.5833333333333333,0
103304,1.2638888888888888,0
103340,1.611111111111111,0
103359,1.2777777777777777,0
103436,1.4166666666666667,0
103490,1.25,0
103502,1.0,0
103536,0.9583333333333334,0
103699,1.0694444444444444,0
103731,1.4166666666666667,0
103823,1.5,0
103860,1.5,0
103862,1.5,0
103916,1.4444444444444446,0
103969,1.3333333333333333,0
103970,1.1666666666666667,0
104103,1.875,0
104267,5.279999999999999,0
104353,1.1944444444444444,0
104431,1.5833333333333333,0
104541,0.8333333333333334,0
104586,1.9027777777777777,0
104673,1.9444444444444446,0
104732,1.1111111111111112,0
104849,1.152777777777778,0
104960,0.8333333333333334,0
